Mnemonic            Summary
VRSQRT14PD    Compute Approximate Reciprocals of Square Roots of Packed Float64 Values
VRSQRT14PS    Compute Approximate Reciprocals of Square Roots of Packed Float32 Values
VRSQRT14SD    Compute Approximate Reciprocal of Square Root of Scalar Float64 Value
VRSQRT14SS    Compute Approximate Reciprocal of Square Root of Scalar Float32 Value
VRSQRTPH    Compute Reciprocals of Square Roots of Packed FP16 Values
VRSQRTSH    Compute Approximate Reciprocal of Square Root of Scalar FP16 Value
VSCALEFPD    Scale Packed Float64 Values With Float64 Values
VSCALEFPH    Scale Packed FP16 Values with FP16 Values
VSCALEFPS    Scale Packed Float32 Values With Float32 Values
VSCALEFSD    Scale Scalar Float64 Values With Float64 Values
VSCALEFSH    Scale Scalar FP16 Values with FP16 Values
VSCALEFSS    Scale Scalar Float32 Value With Float32 Value
VSCATTERDPD    Scatter Packed Single, PackedDouble with Signed Dword and Qword Indices
VSCATTERDPS    Scatter Packed Single, PackedDouble with Signed Dword and Qword Indices
VSCATTERQPD    Scatter Packed Single, PackedDouble with Signed Dword and Qword Indices
VSCATTERQPS    Scatter Packed Single, PackedDouble with Signed Dword and Qword Indices
VSHUFF32x4    Shuffle Packed Values at 128-BitGranularity
VSHUFF64x2    Shuffle Packed Values at 128-BitGranularity
VSHUFI32x4    Shuffle Packed Values at 128-BitGranularity
VSHUFI64x2    Shuffle Packed Values at 128-BitGranularity
VSQRTPH    Compute Square Root of Packed FP16 Values
VSQRTSH    Compute Square Root of Scalar FP16 Value
VSUBPH    Subtract Packed FP16 Values
VSUBSH    Subtract Scalar FP16 Value
VTESTPD    Packed Bit Test
VTESTPS    Packed Bit Test
VUCOMISH    Unordered Compare Scalar FP16 Values and Set EFLAGS
VZEROALL    Zero XMM, YMM, and ZMM Registers
VZEROUPPER    Zero Upper Bits of YMM and ZMM Registers
WAIT    Wait
WBINVD    Write Back and Invalidate Cache
WBNOINVD    Write Back and Do Not Invalidate Cache
WRFSBASE    Write FS/GS Segment Base
WRGSBASE    Write FS/GS Segment Base
WRMSR    Write to Model Specific Register
WRPKRU    Write Data to User Page Key Register
WRSSD    Write to Shadow Stack
WRSSQ    Write to Shadow Stack
WRUSSD    Write to User Shadow Stack
WRUSSQ    Write to User Shadow Stack
XABORT    Transactional Abort
XACQUIRE    Hardware Lock Elision Prefix Hints
XADD    Exchange and Add
XBEGIN    Transactional Begin
XCHG    Exchange Register/Memory With Register
XEND    Transactional End
XGETBV    Get Value of Extended Control Register
XLAT    Table Look-up Translation
XLATB    Table Look-up Translation
XOR    Logical Exclusive OR
XORPD    Bitwise Logical XOR of Packed Double Precision Floating-Point Values
XORPS    Bitwise Logical XOR of Packed Single Precision Floating-Point Values
XRELEASE    Hardware Lock Elision Prefix Hints
XRESLDTRK    Resume Tracking Load Addresses
XRSTOR    Restore Processor Extended States
XRSTORS    Restore Processor Extended States Supervisor
XSAVE    Save Processor Extended States
XSAVEC    Save Processor Extended States With Compaction
XSAVEOPT    Save Processor Extended States Optimized
XSAVES    Save Processor Extended States Supervisor
XSETBV    Set Extended Control Register
XSUSLDTRK    Suspend Tracking Load Addresses
XTEST    Test if in Transactional Execution
SGX Instructions
Mnemonic    Summary
ENCLS    Execute an Enclave System Function of Specified Leaf Number
ENCLS[EADD]    Add a Page to an Uninitialized Enclave
ENCLS[EAUG]    Add a Page to an Initialized Enclave
ENCLS[EBLOCK]    Mark a page in EPC as Blocked
ENCLS[ECREATE]    Create an SECS page in the Enclave Page Cache
ENCLS[EDBGRD]    Read From a Debug Enclave
ENCLS[EDBGWR]    Write to a Debug Enclave
ENCLS[EEXTEND]    Extend Uninitialized Enclave Measurement by 256 Bytes
ENCLS[EINIT]    Initialize an Enclave for Execution
ENCLS[ELDBC]    Load an EPC Page and Mark its State
ENCLS[ELDB]    Load an EPC Page and Mark its State
ENCLS[ELDUC]    Load an EPC Page and Mark its State
ENCLS[ELDU]    Load an EPC Page and Mark its State
ENCLS[EMODPR]    Restrict the Permissions of an EPC Page
ENCLS[EMODT]    Change the Type of an EPC Page
ENCLS[EPA]    Add Version Array
ENCLS[ERDINFO]    Read Type and Status Information About an EPC Page
ENCLS[EREMOVE]    Remove a page from the EPC
ENCLS[ETRACKC]    Activates EBLOCK Checks
ENCLS[ETRACK]    Activates EBLOCK Checks
ENCLS[EWB]    Invalidate an EPC Page and Write out to Main Memory
ENCLU    Execute an Enclave User Function of Specified Leaf Number
ENCLU[EACCEPTCOPY]    Initialize a Pending Page
ENCLU[EACCEPT]    Accept Changes to an EPC Page
ENCLU[EDECCSSA]    Decrements TCS.CSSA
ENCLU[EENTER]    Enters an Enclave
ENCLU[EEXIT]    Exits an Enclave
ENCLU[EGETKEY]    Retrieves a Cryptographic Key
ENCLU[EMODPE]    Extend an EPC Page Permissions
ENCLU[EREPORT]    Create a Cryptographic Report of the Enclave
ENCLU[ERESUME]    Re-Enters an Enclave
ENCLV    Execute an Enclave VMM Function of Specified Leaf Number
ENCLV[EDECVIRTCHILD]    Decrement VIRTCHILDCNT in SECS
ENCLV[EINCVIRTCHILD]    Increment VIRTCHILDCNT in SECS
ENCLV[ESETCONTEXT]    Set the ENCLAVECONTEXT Field in SECS
SMX Instructions
Mnemonic    Summary
GETSEC[CAPABILITIES]    Report the SMX Capabilities
GETSEC[ENTERACCS]    Execute Authenticated Chipset Code
GETSEC[EXITAC]    Exit Authenticated Code Execution Mode
GETSEC[PARAMETERS]    Report the SMX Parameters
GETSEC[SENTER]    Enter a Measured Environment
GETSEC[SEXIT]    Exit Measured Environment
GETSEC[SMCTRL]    SMX Mode Control
GETSEC[WAKEUP]    Wake Up Sleeping Processors in Measured Environment
VMX Instructions
Mnemonic    Summary
INVEPT    Invalidate Translations Derived from EPT
INVVPID    Invalidate Translations Based on VPID
VMCALL    Call to VM Monitor
VMCLEAR    Clear Virtual-Machine Control Structure
VMFUNC    Invoke VM function
VMLAUNCH    Launch/Resume Virtual Machine
VMPTRLD    Load Pointer to Virtual-Machine Control Structure
VMPTRST    Store Pointer to Virtual-Machine Control Structure
VMREAD    Read Field from Virtual-Machine Control Structure
VMRESUME    Launch/Resume Virtual Machine
VMRESUME (1)    Resume Virtual Machine
VMWRITE    Write Field to Virtual-Machine Control Structure
VMXOFF    Leave VMX Operation
VMXON    Enter VMX Operation

Xeon Phi™         Instructions
Mnemonic          Summary
PREFETCHWT1       Prefetch Vector Data Into Caches With Intent to Write and T1 Hint
V4FMADDPS         Packed Single Precision Floating-Point Fused Multiply-Add(4-Iterations)
V4FMADDSS         Scalar Single Precision Floating-Point Fused Multiply-Add(4-Iterations)
V4FNMADDPS        Packed Single Precision Floating-Point Fused Multiply-Add(4-Iterations)
V4FNMADDSS        Scalar Single Precision Floating-Point Fused Multiply-Add(4-Iterations)
VEXP2PD           Approximation to the Exponential 2^x of Packed Double Precision Floating-PointValues With Less Than 2^-23 Relative Error
VEXP2PS           Approximation to the Exponential 2^x of Packed Single Precision Floating-PointValues With Less Than 2^-23 Relative Error
VGATHERPF0DPD     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0DPS     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0QPD     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0QPS     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF1DPD     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1DPS     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1QPD     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1QPS     Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint
VP4DPWSSD         Dot Product of Signed Words With Dword Accumulation (4-Iterations)
VP4DPWSSDS        Dot Product of Signed Words With Dword Accumulation and Saturation(4-Iterations)
VRCP28PD          Approximation to the Reciprocal of Packed Double Precision Floating-Point ValuesWith Less Than 2^-28 Relative Error
VRCP28PS          Approximation to the Reciprocal of Packed Single Precision Floating-Point ValuesWith Less Than 2^-28 Relative Error
VRCP28SD          Approximation to the Reciprocal of Scalar Double Precision Floating-Point ValueWith Less Than 2^-28 Relative Error
VRCP28SS          Approximation to the Reciprocal of Scalar Single Precision Floating-Point ValueWith Less Than 2^-28 Relative Error
VRSQRT28PD        Approximation to the Reciprocal Square Root of Packed Double PrecisionFloating-Point Values With Less Than 2^-28 Relative Error
VRSQRT28PS        Approximation to the Reciprocal Square Root of Packed Single PrecisionFloating-Point Values With Less Than 2^-28 Relative Error
VRSQRT28SD        Approximation to the Reciprocal Square Root of Scalar Double PrecisionFloating-Point Value With Less Than 2^-28 Relative Error
VRSQRT28SS        Approximation to the Reciprocal Square Root of Scalar Single Precision Floating-Point Value With Less Than 2^-28 Relative Error
VSCATTERPF0DPD    Sparse PrefetchPacked SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint With Intentto Write
VSCATTERPF0DPS    Sparse PrefetchPacked SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint With Intentto Write
VSCATTERPF0QPD    Sparse PrefetchPacked SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint With Intentto Write
VSCATTERPF0QPS    Sparse PrefetchPacked SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint With Intentto Write
VSCATTERPF1DPD    Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint With Intentto Write
VSCATTERPF1DPS    Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint With Intentto Write
VSCATTERPF1QPD    Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint With Intentto Write
VSCATTERPF1QPS    Sparse PrefetchPacked SP/DP Data Values With Signed Dword, Signed Qword Indices Using T1 Hint With Intentto Write
